timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,malicious
2020-11-22 02:21:39.564157,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1,1
2020-11-22 02:21:39.973605,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1,1
2020-11-22 02:21:41.390617,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:41.801450,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:42.213770,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1,1
2020-11-22 02:21:42.624152,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1,1
2020-11-22 02:21:43.859538,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:44.269885,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:44.682909,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1,1
2020-11-22 02:21:45.093515,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1,1
2020-11-22 02:21:46.405752,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:46.816334,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:47.229097,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1,1
2020-11-22 02:21:47.639041,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1,1
2020-11-22 02:21:48.874803,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:49.284918,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1,1
2020-11-22 02:21:49.350573,32,0,32,0,0,2.7351318897194044,0,1,32,32,N,FHEPFCELEHFCEPFFFACACACACACACABN,33,0,1
2020-11-22 02:21:49.350980,32,0,32,0,0,2.7351318897194044,0,1,32,32,N,FHEPFCELEHFCEPFFFACACACACACACABN,33,0,1
2020-11-22 02:21:49.697685,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,2,192,14,1,1
2020-11-22 02:21:50.108247,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,2,192,14,1,1
2020-11-22 02:21:50.520455,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1,1
2020-11-22 02:21:50.930842,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1,1
2020-11-22 02:21:51.353298,32,0,32,0,0,2.7351318897194044,0,1,32,32,N,FHEPFCELEHFCEPFFFACACACACACACABN,33,0,1
2020-11-22 02:21:51.353494,32,0,32,0,0,2.7351318897194044,0,1,32,32,N,FHEPFCELEHFCEPFFFACACACACACACABN,33,0,1
2020-11-22 02:21:51.353601,32,0,32,0,0,2.7351318897194044,0,1,32,32,N,FHEPFCELEHFCEPFFFACACACACACACABN,33,0,1
